"","name","group"
"1","A4GALT",1
"2","ABO",1
"3","ALG11",1
"4","ALG13",1
"5","ALG5",1
"6","ALG9",1
"7","B3GALNT1",1
"8","B3GALT4",1
"9","B3GAT1",1
"10","B3GNT3",1
"11","B4GALT4",1
"12","B4GALT6",1
"13","C1GALT1",1
"14","CHPF",1
"15","CHST12",1
"16","CHST5",1
"17","CHST7",1
"18","CHST8",1
"19","CHSY1",1
"20","COLGALT1",1
"21","CSGALNACT1",1
"22","CSGALNACT2",1
"23","DPM1",1
"24","DPY19L1",1
"25","DSE",1
"26","EOGT",1
"27","EXT1",1
"28","EXT2",1
"29","EXTL1",1
"30","EXTL2",1
"31","EXTL3",1
"32","FKRP",1
"33","FKTN",1
"34","FUT3",1
"35","FUT7",1
"36","FUT8",1
"37","GALNT10",1
"38","GALNT12",1
"39","GALNT4",1
"40","GALNT6",1
"41","GLCE",1
"42","HS3ST1",1
"43","HS3ST3A1",1
"44","HS6ST1",1
"45","MFNG",1
"46","MGAT1",1
"47","MGAT2",1
"48","MGAT4A",1
"49","MGAT4B",1
"50","NDST1",1
"51","NDST2",1
"52","PIGB",1
"53","PIGZ",1
"54","POFUT1",1
"55","POGLUT2",1
"56","RFNG",1
"57","RXYLT1",1
"58","ST3GAL2",1
"59","ST3GAL4",1
"60","ST3GAL6",1
"61","ST6GALNAC2",1
"62","ST6GALNAC4",1
"63","ST6GALNAC5",1
"64","ST8SIA1",1
"65","ST8SIA5",1
"66","STT3A",1
"67","TPST1",1
"68","UGCG",1
"69","UGGT1",1
"70","UGGT2",1
"71","UST",1
"72","XYLT2",1
